date,bc_active_addresses,bc_tx_count,bc_hash_rate,bc_fees_usd,bc_tx_volume_usd,bc_mempool_bytes,cm_mvrv,cm_active_addr,cm_stablecoin_cap,fear_greed,spx,dxy,vix,us10y
2025-08-17 00:00:00+00:00,434867.0,440879.0,978007589.9615842,301652.2018775999,4633178834.210024,266477.0,2.2553050008051305,569807.0,234718699774.97363,64.0,,,,
2025-08-18 00:00:00+00:00,506163.0,478104.0,990876110.8821313,399097.2322444002,10854550547.181856,395123.5,2.229656237704237,701698.0,234905696648.5237,60.0,6449.15,120.5622,14.99,4.34
2025-08-19 00:00:00+00:00,508055.0,412417.0,862190901.6766596,388062.75295719993,14441863554.129673,2473128.0,2.162405961142789,670399.0,234263353085.25653,56.0,6411.37,120.7224,15.57,4.3
2025-08-20 00:00:00+00:00,534876.0,424869.0,907230724.8985746,396397.7700336002,11774848315.666763,3381693.0,2.187593393945847,726389.0,234623169805.6903,44.0,6395.78,120.7757,15.69,4.29
2025-08-21 00:00:00+00:00,536698.0,447767.0,958704808.5807632,364752.86292660004,14001832264.62955,343415.0,2.1500922222394157,702511.0,235124783535.66144,50.0,6370.17,121.0843,16.6,4.33
2025-08-22 00:00:00+00:00,559414.0,459717.0,939585701.641628,401414.8166953,15328705213.824976,1966831.5,2.2309603181709265,767825.0,235070851867.1942,50.0,6466.91,120.2774,14.22,4.26
2025-08-23 00:00:00+00:00,487009.0,467080.0,980001769.6141683,316111.6649729999,8101157832.036867,130549.0,2.2012721767196215,662164.0,234967412301.73853,60.0,,,,
2025-08-24 00:00:00+00:00,443678.0,525890.0,1057370330.3731811,266039.9594377,11032407922.931696,328622.0,2.167328504514984,610390.0,235062084675.0291,53.0,,,,
2025-08-25 00:00:00+00:00,525919.0,482127.0,909080588.9184059,326427.3828973001,11581188386.265312,923989.5,2.101608862718138,705894.0,235732562828.39005,47.0,6439.32,120.4214,14.79,4.28
2025-08-26 00:00:00+00:00,528702.0,456605.0,967107009.4876657,367907.75003929995,12519504863.175747,704656.5,2.1348985660008872,710999.0,236481554280.37054,48.0,6465.94,120.5274,14.62,4.26
2025-08-27 00:00:00+00:00,526965.0,499276.0,967107009.4876657,415229.94353500014,10326963402.219948,489102.5,2.1218251202374474,703023.0,237739224872.23618,51.0,6481.4,120.7274,14.85,4.24
2025-08-28 00:00:00+00:00,547915.0,575612.0,1025133430.0569257,378705.24455069995,10466099084.99234,280115.0,2.1427891220239426,696912.0,240601344693.44202,48.0,6501.86,120.2595,14.43,4.22
2025-08-29 00:00:00+00:00,597526.0,596157.0,1063817710.4364324,389240.1652717001,23005469326.788795,472083.5,2.0585239707912053,777455.0,241264227348.87283,50.0,6460.26,120.2082,15.36,4.23
2025-08-30 00:00:00+00:00,495905.0,628513.0,1018686049.9936746,358535.09255500004,9170965525.438213,542812.5,2.063022252855391,633372.0,242251937520.7838,39.0,,,,
2025-08-31 00:00:00+00:00,446532.0,472908.0,851054168.3491462,328571.2197002999,4626001308.177331,495042.5,2.054653984489101,579281.0,242210136750.87936,48.0,,,,
2025-09-01 00:00:00+00:00,521197.0,598757.0,1038028190.1834283,1061076.3818421,9872635249.510498,281482.0,2.0664722780336136,724476.0,242061190943.26633,46.0,,,16.12,
2025-09-02 00:00:00+00:00,544795.0,592659.0,1050922950.3099302,568811.1251085999,11472795453.89586,369718.0,2.1061331661206095,741440.0,242350773619.98938,49.0,6415.54,120.6837,17.17,4.28
2025-09-03 00:00:00+00:00,541497.0,411173.0,883291068.6654017,708711.0561256002,10987680372.68799,6488822.0,2.117352868701102,757257.0,243115511020.3128,55.0,6448.26,120.5052,16.35,4.22
2025-09-04 00:00:00+00:00,540435.0,395181.0,902633208.8551546,545663.6007904,10787959326.746689,5363332.5,2.0988399671512004,768977.0,244868668094.9992,51.0,6502.08,120.7629,15.3,4.17
2025-09-05 00:00:00+00:00,587857.0,416432.0,957592801.7399701,798578.5719341001,12937939673.7636,453852.0,2.0909910896315393,811569.0,244912325150.85297,48.0,6481.5,120.1282,15.18,4.1
